country,state,total,Obama,Romney,winner,voters
Adams,PA,41973,35.482334,63.112001,Romney,61156
Allegheny,PA,614671,56.640219,42.18582,Obama,924351
Armstrong,PA,28322,30.696985,67.901278,Romney,42147
Beaver,PA,80015,46.032619,52.63763,Romney,115157
Bedford,PA,21444,22.057452,76.98657,Romney,32189
Berks,PA,163253,48.939376,49.528646,Romney,250356
Blair,PA,47631,32.575424,66.133401,Romney,85328
Bradford,PA,22501,36.847251,61.450602,Romney,40490
Bucks,PA,319407,49.96697,48.801686,Obama,435606
Butler,PA,88924,31.920516,66.816607,Romney,122762
Cambria,PA,57718,40.162514,57.978447,Romney,86988
Cameron,PA,1967,34.417895,64.260295,Romney,3651
Carbon,PA,24232,45.559591,52.451304,Romney,39017
Centre,PA,68801,48.948416,48.977486,Romney,112949
Chester,PA,248295,49.228539,49.650617,Romney,337822
Clarion,PA,15227,31.06981,67.170158,Romney,24120
Clearfield,PA,31894,34.780837,63.657741,Romney,51174
Clinton,PA,12663,43.457317,54.813235,Romney,22969
Columbia,PA,24305,42.888295,55.317836,Romney,39888
Crawford,PA,33089,39.360513,58.922905,Romney,54711
Cumberland,PA,109964,39.997636,58.532793,Romney,158194
Dauphin,PA,122625,52.36208,46.35107,Obama,178924
Delaware,PA,272853,60.400655,38.581214,Obama,397338
Elk,PA,12425,41.400402,57.134809,Romney,20302
Erie,PA,112732,57.779512,40.895221,Obama,176851
Fayette,PA,48196,45.317039,53.624782,Romney,91681
Forest,PA,2308,38.734835,59.835355,Romney,3232
Franklin,PA,62802,30.110506,68.583803,Romney,87406
Fulton,PA,6148,21.096291,77.748861,Romney,9344
Greene,PA,13726,40.536209,58.174268,Romney,22663
Lebanon,PA,53771,35.288538,63.249707,Romney,81476
Lehigh,PA,144922,53.15204,45.604532,Obama,226453
Luzerne,PA,123741,51.699922,46.847043,Obama,194137
Lycoming,PA,46214,32.682737,65.975678,Romney,68064
McKean,PA,15014,35.033968,63.234315,Romney,25861
Mercer,PA,48065,48.02247,50.56486,Romney,75238
Mifflin,PA,16311,26.111213,72.913984,Romney,24445
Monroe,PA,59312,56.364648,42.318586,Obama,108879
Montgomery,PA,401787,56.637223,42.286834,Obama,551105
Montour,PA,7787,38.859638,59.535123,Romney,13518
Northampton,PA,125883,51.64637,47.06116,Obama,209414
Northumberland,PA,31512,39.324702,58.758568,Romney,54978
Perry,PA,18240,29.769737,68.591009,Romney,27245
Philadelphia,PA,653598,85.224251,14.051451,Obama,1099197
Pike,PA,23164,43.904334,54.882576,Romney,41840
Potter,PA,7205,26.259542,72.158223,Romney,10913
Schuylkill,PA,57505,42.523259,55.918616,Romney,86316
Snyder,PA,14962,31.225772,67.170164,Romney,21573
Somerset,PA,33875,27.808118,70.656827,Romney,51860
Sullivan,PA,2934,35.037491,63.3606,Romney,4242
Susquehanna,PA,17930,38.432794,59.871723,Romney,26163
Tioga,PA,15943,31.69416,66.480587,Romney,26001
Union,PA,16187,37.455983,60.931612,Romney,23950
Venango,PA,20775,35.951865,62.22864,Romney,32773
Warren,PA,16462,41.112866,57.192322,Romney,29111
Washington,PA,90078,42.744066,56.012567,Romney,142331
Wayne,PA,20966,38.815225,59.768196,Romney,32577
Westmoreland,PA,168709,37.567646,61.306154,Romney,238006
Wyoming,PA,11214,42.910647,55.189941,Romney,17255
York,PA,186394,38.695452,59.860296,Romney,280280
